Topic,Count,Name,Representation,Representative_Docs,generatedTopic,isPositiveSentiment,product
0,113,0_ads_tablet_slow_apps,"['ads', 'tablet', 'slow', 'apps', 'half', 'tube', 'internet', 'limited', 'problem', 'able']","['bothered ads tablet', 'internet slow tablet', 'slow tablet']",Performance and Advertisements,False,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
1,62,1_cheap_slow_disappointed_tablet,"['cheap', 'slow', 'disappointed', 'tablet', 'bad', 'got', 'low', 'works', 'performance', 'worst']","['wanted cheap tablet', 'cheap tablet amazon', 'tablet extremely cheap']",Affordable Tablet Options,False,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
2,57,2_tablet_wifi_amazon_returned,"['tablet', 'wifi', 'amazon', 'returned', 'device', 'need', 'barely', 'phone', 'needs', 'apps']","['spend device barely', 'problem work wifi', 'tablet returned day']",Frequent device malfunctions and poor Wi-Fi connectivity,False,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
3,51,3_didnt_dont_wouldnt_doesnt,"['didnt', 'dont', 'wouldnt', 'doesnt', 'like', 'really', 'wasnt', 'work', 'know', 'play']","['dont like tablet', 'didnt like return', 'didnt like']",Customer Dissatisfaction with Tablets,False,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
4,44,4_price_good_size_memory,"['price', 'good', 'size', 'memory', 'purchase', 'kindle', 'like', 'great', 'recommend', 'use']","['recommend memory card', 'purchase price', 'takes price good']",Good value for an entertainment tablet.,False,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
0,2853,0_tablet_easy_use_bought,"['tablet', 'easy', 'use', 'bought', 'price', 'kids', 'games', 'read', 'kindle', 'apps']","['tablet easy', 'kids easy use', 'easy use price']",User-friendliness and Value for Money,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
1,2704,1_tablet_cheap_little_dont,"['tablet', 'cheap', 'little', 'dont', 'doesnt', 'price', 'battery', 'need', 'use', 'didnt']","['great tablet dont', 'little tablet price', 'cheap little tablet']",Affordable Tablet Experience,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
2,2203,2_great_good_tablet_price,"['great', 'good', 'tablet', 'price', 'nice', 'product', 'perfect', 'recommend', 'happy', 'excellent']","['great tablet price', 'great tablet price', 'good great price']",Value and affordability of tablets.,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
3,1727,3_loves_love_gift_daughter,"['loves', 'love', 'gift', 'daughter', 'bought', 'son', 'christmas', 'loved', 'old', 'tablet']","['gift daughter loves', 'loves tablet', 'loves tablet']",Popularity as a Gift,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
4,1139,4_tablet_amazon_use_kindle,"['tablet', 'amazon', 'use', 'kindle', 'easy', 'apps', 'like', 'price', 'store', 'reading']","['tablet easy use', 'use tablet', 'amazon tablet']",Ease of Use and Everyday Utility of Tablets,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta"
0,176,0_cheap_dont_batteries_work,"['cheap', 'dont', 'batteries', 'work', 'amazon', 'terrible', 'barely', 'didnt', 'long', 'charge']","['batteries cheap', 'batteries dont work', 'batteries dont work']",Battery Performance Issues,False,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
1,171,1_bad_worst_batch_batteries,"['bad', 'worst', 'batch', 'batteries', 'dead', 'waste', 'disappointed', 'die', 'money', 'got']","['got bad batch', 'got bad batch', 'got bad batch']",Consistent Quality Concerns,False,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
2,167,2_batteries_leaked_leaking_battery,"['batteries', 'leaked', 'leaking', 'battery', 'low', 'leak', 'horrible', 'use', 'short', 'drained']","['leaked recharge battery', 'working batteries leaked', 'use batteries leaking']",Battery Leakage Issues,False,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
3,165,3_batteries_dont_didnt_long,"['batteries', 'dont', 'didnt', 'long', 'used', 'half', 'battery', 'buy', 'worked', 'remote']","['dont long batteries', 'batteries dont long', 'batteries dont long']",Battery life concerns.,False,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
4,96,4_long_dont_good_batteries,"['long', 'dont', 'good', 'batteries', 'brands', 'run', 'week', 'far', 'great', 'life']","['dont long', 'dont long', 'dont long']",Device Durability,False,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
0,2226,0_batteries_long_dont_cheap,"['batteries', 'long', 'dont', 'cheap', 'longer', 'battery', 'havent', 'expensive', 'need', 'used']","['price dont long', 'long batteries', 'dont long cheap']",Device Longevity and Value,True,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
1,1840,1_batteries_price_work_amazon,"['batteries', 'price', 'work', 'amazon', 'brand', 'long', 'buy', 'great', 'brands', 'better']","['batteries great price', 'batteries batteries work', 'batteries great price']",Battery Life and Value,True,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
2,1326,2_good_great_value_product,"['good', 'great', 'value', 'product', 'deal', 'price', 'work', 'works', 'quality', 'far']","['good great price', 'great price good', 'good great value']",Value and Affordability of Tablets,True,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
3,1231,3_good_batteries_price_great,"['good', 'batteries', 'price', 'great', 'battery', 'product', 'fast', 'work', 'value', 'love']","['batteries good price', 'batteries price good', 'batteries good price']",**Discussion Topic: Value and Performance of Budget-Friendly Tablets**,True,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
4,131,4_great_price_buy_hold,"['great', 'price', 'buy', 'hold', 'time', 'gotta', 'fast', 'said', 'soon', 'way']","['great price', 'great price', 'great price']",Affordable Value,True,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
0,24,0_frustrating_disappointed_useless_product,"['frustrating', 'disappointed', 'useless', 'product', 'connection', 'time', 'hard', 'unsatisfied', 'tried', 'socketsss']","['getting connection sucks', 'hard time trying', 'hard time answering']",Difficulty with device responsiveness and connectivity.,False,"Echo (White),,,
Echo (White),,,"
1,19,1_advertised_echo_command_bought,"['advertised', 'echo', 'command', 'bought', 'google', 'limited', 'alexa', 'useful', 'expected', 'itselfwithout']","['fairly limited bought', 'command alexa turn', 'echo simply advertised']",Voice control features and their actual utility.,False,"Echo (White),,,
Echo (White),,,"
2,19,2_dont_wasnt_doesnt_answer,"['dont', 'wasnt', 'doesnt', 'answer', 'money', 'know', 'questions', 'say', 'waste', 'didnt']","['standard answer dont', 'didnt know answer', 'doesnt answer questions']",Poorly Functioning Voice Assistant,False,"Echo (White),,,
Echo (White),,,"
3,15,3_wouldnt_connect_connected_wifi,"['wouldnt', 'connect', 'connected', 'wifi', 'improvement', 'youll', 'inaccessible', 'connectivity', 'hour', 'needed']","['inaccessible connected wifi', 'wouldnt connect smart', 'hour wouldnt connect']",Connectivity Issues,False,"Echo (White),,,
Echo (White),,,"
