name,reviews.text_pos,reviews.text_neg
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue","I was shopping for a tablet for my mother. She uses her phone for games and social media, but she wanted a larger device, but wasnt interested in using features that may come with a much pricier tablet. This tablet is PERFECT for her. Battery lasts long, she can watch her shows, play games, and do social media while at her doctor appointments. It's light, durable, and a great price since she's on a fixed income. This tablet is so good, I'm still surprised at how good a price Best Buy had. Definitely recommend. I might even grab one myself!","This is not the first kindle i buy, but the others were for my kids or gifted to kids so they broke at some point. This one was for me, i didn’t hurry to buy a cover as i am a veeery careful person. Well i was sorry to see the back (yes, the back) cracked within a month, no drop whatsoever, i keep it on my bedside table to read at night."
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case","I was contemplating if I should me buy the regular tablet or the specific one for kids. And I recommend if it's going to be used by kids a lot, better buy the kids version. You get 1 year subscription of unlimited entertainment and learning stuff and many of the best stuff is already available. No need to go to the app site and think of what to download. It's a major benefit.","Bought this for my young son, because of the warranty. You are required to have a credit card stored in the account, and to turn on parental controls it blocks other features too like Alexa. This is the most ridiculous setup ever."
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case","I was contemplating if I should me buy the regular tablet or the specific one for kids. And I recommend if it's going to be used by kids a lot, better buy the kids version. You get 1 year subscription of unlimited entertainment and learning stuff and many of the best stuff is already available. No need to go to the app site and think of what to download. It's a major benefit.","I have always bought nabi's they have lasted for a couple of years with my grandkids This item I bought for my six year old grandson as an upgrade (his nabi lasted 26 months) This broke in two days after giving it to him, It would not charge and the LCD went out . I am now having to jump through hoops to get it replaced ."
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers","Now, I didn't expect this to be an amazing tablet, but people were generally saying it was snappy enough. I wanted a media tablet. Something I could use late at night to watch YouTube videos or an episode of my favorite show while laying in bed. I also like it for online shopping so I don't have to hold a laptop but am not looking at my phone screen.PROS:Tablet exceeded my expectations. It's great for media. I use this more than my phone and my laptop now.It's snappy, I was able to complete my homework for online classes, watch videos from CNN and other tasks without too much struggleIt can be a general purpose tablet. HEED MY WARNING doing the following may void your warranty with Amazon, I'm not sure. But I installed the Google play store on my fire HD 8 and now have access to a huge selection of apps. I decided to do this after finding there was no good YouTube app from Amazon's app store. Because fire OS is basically Android with a heavy skin on it, everything runs perfectly as you can see from the pictures.SOUND IS FANTASTIC!!!! Did I say that loud enough? Yes they are still tablet speakers, no they won't fill your whole room with bumping bass but MY GOSH these are some GOOD tablet speakers. Better than my $900 smartphone, $1000 laptop and $500 iPad. What I'm trying to say is, the speakers are way better than the price point would suggest. Bravo Amazon.CONS:Ram is lacking. Doesn't excel in multitasking, drops tasks while you're away even if it was the last thing you were doing. It does this randomly however, and it's not always a problem. When it is it's very annoying.Screen is meh. It's good enough to not be a bother but coming from a 4k laptop and AMOLED display on my Google pixel XL, the screen is lacking. To the standard user, I don't think it will be noticeable though, and looks pretty good.Case and screen protector selection are sad and limited. Hopefully that changes soon as this tablet was just released this month.Cameras are useless. Not what I bought the tablet for so it didn't bother me one bit, but don't buy it for the cameras, a potato could take better photos.CONCLUSION:So overall I adore this tablet. I use it every day and now that I can have my Google apps and such on it, it is a fully functional Android tablet. It's wonderful, suits my needs, and hasn't disappointed me yet. Highly recommend.","I thought this would be a great gift for a child until I got to the set up. The set up could not be completed unless a credit card number was entered. I refuse to put that type of information in the hands of a child so, I returned it."
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Marine Blue - with Special Offers","I upgraded from Fire HD 8.9 this tablet is fast, and I love how it has for memory card my other one lacked that. My tablet came charged at 75% I have the fast charger since that is what I use with my other tablet. I have to say it took 1hr to fully charge. I am not sure why that other reviewer complained that it took a day to charge and that is wrong. Maybe he should invest in the fast charger?The sound is pretty good without headphones. I love that is not too big or small good enough to take anywhere. For the price and for what you are getting this a great tablet for anyone.","I have an older Fire HD 7 and had started reading a lot more periodicals on it (okay, I admit it, comic books). So when the news about the Fire HD 8 7th generation went out, I put in a pre-order and eagerly anticipated its arrival so I could have just a slightly larger screen and better performance.The Fire HD 8 delivered on those two fronts. It's noticeably snappier than my HD 7, and the screen is larger. No arguing those points.My Fire HD 8 arrived charged to 73%, so I hooked it up to the included charger and set it to download some of the aforementioned periodicals. I checked on it two hours later and noticed that it had managed a measly 4% increase in battery charge in that time. Starting at 73%, I would have expected it to at least be in the mid to high 80s after two hours.After experimenting a bit, I found that the only way I could get a sort of decent charging speed was to turn the Fire HD off altogether and let it charge with absolutely nothing else running. I am now able to charge at a rate of about 1% every 10 to 15 minutes, an improvement over 1% per half hour, but it means having to fully turn off the Fire HD before I plug it in and then restart it when I want to use it again. The Fire HD 8 will maintain an even charge level while it is plugged in and in use, but don't expect it to replenish the battery in that state.Aside from that, the Fire HD 8 seems a decent tablet for a $100 price point. Just don't expect it to fully charge overnight if you deplete it the day before."
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black","I am a power user; there's no other way of putting it. I work in IT and I research the heck out of products before I buy. I had an iPad Mini 2 that was just not up to snuff with iOS 10 so I sold it and bought (and eventually returned) the 2016 Fire HD 8. First let me say it's a great tablet for the price and for probably 50-60% of tablet users who surf the web and watch Netflix. It also helps if you are a heavy Amazon content user. For me, I was spoiled by the retina display on the iPad. The 720p display is alright, but you can see the pixels. 189ppi is pretty low by today's standards. The other big thing for me was the lack of a laminated display. It's glare city on this thing. Display nitpicks aside, it punches above its price point. If you don't play really heavy games (which it even plays Titan Quest surprisingly well!) and you don't mind not having an absolutely beautiful screen I think it runs and works fine. It just wasn't for me. I bit the bullet and went with a 128GB iPad Air 2 as its on special at BB for super cheap right now.",This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Light to carry and good picture quality. This was purchased for a hearing impaired person to download video in American Sign Language . This product was easy to maneuver for someone that was not use to a tablet.,I liked it at first except the browser is kind of clunky. Also you can. It use all android Apps. The worst thing though was mine just stopped working in the middle of watching a movie on a long plane flight. It was fully charged. I have tried recharging and turning on etc. it is just a blank screen and off. Kind of a cool paperweight. Hope I can get my money back. Or get a new one.
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","I am a power user; there's no other way of putting it. I work in IT and I research the heck out of products before I buy. I had an iPad Mini 2 that was just not up to snuff with iOS 10 so I sold it and bought (and eventually returned) the 2016 Fire HD 8. First let me say it's a great tablet for the price and for probably 50-60% of tablet users who surf the web and watch Netflix. It also helps if you are a heavy Amazon content user. For me, I was spoiled by the retina display on the iPad. The 720p display is alright, but you can see the pixels. 189ppi is pretty low by today's standards. The other big thing for me was the lack of a laminated display. It's glare city on this thing. Display nitpicks aside, it punches above its price point. If you don't play really heavy games (which it even plays Titan Quest surprisingly well!) and you don't mind not having an absolutely beautiful screen I think it runs and works fine. It just wasn't for me. I bit the bullet and went with a 128GB iPad Air 2 as its on special at BB for super cheap right now.",This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black","I've had lots of tablets in the past, mostly from the Samsung line, but this is my first Amazon Fire, so I want to write this review for others who have never tried one of these. At the time that this was written, Alexa had not been added to the tablet.First, while this device runs an Android type of operating system, Amazon puts its own spin on the operating system. I don't feel like I'm using Android. This feels different to me. It doesn't have the same level of customization that Android users have come to appreciate. That being said, if you are an Amazon Prime member, this device has been tailored to be your content entertainment machine. It's simply a fun way to consume your magazines, books, etc.There are 3 on-screen buttons on the bottom of the device. The middle button immediately takes you to your home screen. The button to the left acts as a sort of ""back"" button. It also lets me get rid of my keyboard when I don't need it on screen, but it's open. The button to the right is super important. It took me a couple of days to realize what it does. That square shaped button is what you press you see what apps you have open. It lets you switch between apps, but it also lets you see which apps you have open and close them out. You can close them by pressing the ""X"" button in the corner of the window that appears or by touching the app window and swiping to the right. If you leave all of those apps open and you never close them, you'll drain your battery. Make sure you use that little square button to clear your apps.The device has several menus that you swipe left to view. First, you start with your home screen. You literally can stay on this screen and do anything you need to do on the tablet. All of your apps are housed here. You swipe up to view all of them. The tablet comes with several apps pre-installed such as Slik, Amazon's own internet browser, Audible, Good Reads, the Amazon app store, a weather app, etc. You can go to the Amazon app store to download other apps such as Twitter, Facebook, etc. You can combine the apps on this page into folders. You just drag one app to another app and a folder appears. This made my home screen much more manageable. You can change the size of the font on the home screen from normal to large or small in the device settings. This feature doesn't necessarily increase the size of the font within your apps, however. I believe it only changes the font on your main screens.If you have a magazine or newspaper subscription that is connected to your device, when you have a new issues, it will show up at the top of your home page screen under the heading of ""new items."" The device comes with a free 6 month subscription to the Washington Post. You'll see that under ""new items"" when you initially activate your tablet.You can change the wallpaper on the screen to use one of your own photos. You can do this through the settings menu on the device. If you want to use one of your own photos, however, you need to either take it on the device or move it into Amazon's Photos app, which is a cloud-based app.So far, I haven't found a way to effectively use a different photo management app that will let me change my wallpaper. I'm not crazy about the Amazon Photo app. I found it annoying to move my photos from my phone into Amazon's cloud just so I could view them on my tablet. That being said, I'm not planning to take photos on this device. I just wanted a few pet photos on there and the ability to change my wallpaper.Beyond the home screen, you can swipe to the right to view your other screen. They are pre-arranged to be: books, videos, games, shop, apps, music, audiobooks, and newstand. All of those screens are connected to your Amazon account. For example, if you have Kindle books you've already purchased, they automatically will appear under the Books menu. Your magazines and newspaper subscriptions will appear under the newstand menu. There doesn't seem to be a way to change the order of the menu pages. That bugs me, but it's not the end of the world. There's also one menu to the left of the ""home"" menu. It's the ""recent"" page. It shows you what you've received looked at on the tablet. I never use it, but it might be handy for some people.One of my favorite features of this tablet is Amazon's ""On Deck"" capability. If you're an Amazon Prime member, Amazon will periodically download a video to your device that it thinks you might like. The items don't count against your pre-installed memory and they automatically deleted off if your memory starts getting full. You can turn off the ""on deck"" feature if you don't like it. I've been content with the video playback capability. This isn't my major use of the device, but the images look fine and the audio is OK. I'll talk more about the speakers later. My other favorite feature of this tablet is viewing magazine content through the Newstand. I've tried 3 magazines on here and they all look gorgeous. Now, I can always have my magazines with me so if I'm stuck at the airport or at the doctor's office, I always have them. One of my regular magazines includes a free digital version of the magazine for free. I just had to connect my account to the device. This allows me to download the back issues of the magazine for as long as I've had an account. My other magazine didn't include a digital edition so I canceled the print edition of it and switched to the digital version. (It was an inexpensive magazine, anyway.) There are several magazines that you can try free for 30 days on the device. I did this with a third magazine and decided to keep it for a year. Viewing magazines on this gadget is a pleasure.The Kindle Fire doesn't come with the Google Play store installed. You can side load it to the device without rooting it (and breaking your warranty.) You can Google to find the instructions to do this. It's not difficult to do if you're fairly comfortable with technology. It probably took me 10 minutes. Most of the apps I wanted were in the Amazon store, but there were a handful that I had paid for through Google Play. The only way I could have them was to go back to access that store. They have worked fine so far. I despise the keyboard that Amazon pre-installed on this device. There are no lines between the letters on the keyboard. I suppose it designed to be better for swyping through keys, but I hate it. I fixed that problem by going to Google Play and downloading a new keyboard. It was a pretty easy problem to solve so I can't complain.Apps that are connecting to the Internet can be a little slow to load on this device compared to my other gadgets, but that generally doesn't bother me. If you were using this tablet to replace your personal laptop, however, that might drive you crazy. The screen on this device isn't bad. If I compare it to my fancy phone, it's not as shape, but when you think about the price of this device compared to my smartphone, the screen is outstanding.The speakers are OK. There are two of them located on the bottom of the screen. I won't say that they are fantastic. They aren't. In my opinion, they are fine for watching YouTube or a television show. They are not OK for listening to music if you are an audiophile. You can make it a little better by downloading a different music app instead of relying on the pre-install app, but still your music will sound tinny. That being said, you can always connect your tablet to a bluetooth speaker, use a pair of headphones, etc.This device wasn't made for taking pictures. It has a front and back camera, but they aren't designed to be spectacular. I'm not using them.I find this device a little difficult to hold in my hands. I think that's partly because of the size and partly because it feels very slick. Also, I do have some hand problems (similar to someone who has Carpal Tunnel syndrome). I think it will be easier to handle once my case arrives. I'm still waiting for it. I'm greatly enjoying this device. It's simply fun to use the tablet. There are weaknesses that come with that lower price tag, but you legitimately get a lot of bang for your buck, particularly if you regularly use Amazon services. If you don't typically use Amazon and you are just looking for a tablet for viewing the Internet and you're looking for a low price tag, this device may be OK for you.",I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue","I've had lots of tablets in the past, mostly from the Samsung line, but this is my first Amazon Fire, so I want to write this review for others who have never tried one of these. At the time that this was written, Alexa had not been added to the tablet.First, while this device runs an Android type of operating system, Amazon puts its own spin on the operating system. I don't feel like I'm using Android. This feels different to me. It doesn't have the same level of customization that Android users have come to appreciate. That being said, if you are an Amazon Prime member, this device has been tailored to be your content entertainment machine. It's simply a fun way to consume your magazines, books, etc.There are 3 on-screen buttons on the bottom of the device. The middle button immediately takes you to your home screen. The button to the left acts as a sort of ""back"" button. It also lets me get rid of my keyboard when I don't need it on screen, but it's open. The button to the right is super important. It took me a couple of days to realize what it does. That square shaped button is what you press you see what apps you have open. It lets you switch between apps, but it also lets you see which apps you have open and close them out. You can close them by pressing the ""X"" button in the corner of the window that appears or by touching the app window and swiping to the right. If you leave all of those apps open and you never close them, you'll drain your battery. Make sure you use that little square button to clear your apps.The device has several menus that you swipe left to view. First, you start with your home screen. You literally can stay on this screen and do anything you need to do on the tablet. All of your apps are housed here. You swipe up to view all of them. The tablet comes with several apps pre-installed such as Slik, Amazon's own internet browser, Audible, Good Reads, the Amazon app store, a weather app, etc. You can go to the Amazon app store to download other apps such as Twitter, Facebook, etc. You can combine the apps on this page into folders. You just drag one app to another app and a folder appears. This made my home screen much more manageable. You can change the size of the font on the home screen from normal to large or small in the device settings. This feature doesn't necessarily increase the size of the font within your apps, however. I believe it only changes the font on your main screens.If you have a magazine or newspaper subscription that is connected to your device, when you have a new issues, it will show up at the top of your home page screen under the heading of ""new items."" The device comes with a free 6 month subscription to the Washington Post. You'll see that under ""new items"" when you initially activate your tablet.You can change the wallpaper on the screen to use one of your own photos. You can do this through the settings menu on the device. If you want to use one of your own photos, however, you need to either take it on the device or move it into Amazon's Photos app, which is a cloud-based app.So far, I haven't found a way to effectively use a different photo management app that will let me change my wallpaper. I'm not crazy about the Amazon Photo app. I found it annoying to move my photos from my phone into Amazon's cloud just so I could view them on my tablet. That being said, I'm not planning to take photos on this device. I just wanted a few pet photos on there and the ability to change my wallpaper.Beyond the home screen, you can swipe to the right to view your other screen. They are pre-arranged to be: books, videos, games, shop, apps, music, audiobooks, and newstand. All of those screens are connected to your Amazon account. For example, if you have Kindle books you've already purchased, they automatically will appear under the Books menu. Your magazines and newspaper subscriptions will appear under the newstand menu. There doesn't seem to be a way to change the order of the menu pages. That bugs me, but it's not the end of the world. There's also one menu to the left of the ""home"" menu. It's the ""recent"" page. It shows you what you've received looked at on the tablet. I never use it, but it might be handy for some people.One of my favorite features of this tablet is Amazon's ""On Deck"" capability. If you're an Amazon Prime member, Amazon will periodically download a video to your device that it thinks you might like. The items don't count against your pre-installed memory and they automatically deleted off if your memory starts getting full. You can turn off the ""on deck"" feature if you don't like it. I've been content with the video playback capability. This isn't my major use of the device, but the images look fine and the audio is OK. I'll talk more about the speakers later. My other favorite feature of this tablet is viewing magazine content through the Newstand. I've tried 3 magazines on here and they all look gorgeous. Now, I can always have my magazines with me so if I'm stuck at the airport or at the doctor's office, I always have them. One of my regular magazines includes a free digital version of the magazine for free. I just had to connect my account to the device. This allows me to download the back issues of the magazine for as long as I've had an account. My other magazine didn't include a digital edition so I canceled the print edition of it and switched to the digital version. (It was an inexpensive magazine, anyway.) There are several magazines that you can try free for 30 days on the device. I did this with a third magazine and decided to keep it for a year. Viewing magazines on this gadget is a pleasure.The Kindle Fire doesn't come with the Google Play store installed. You can side load it to the device without rooting it (and breaking your warranty.) You can Google to find the instructions to do this. It's not difficult to do if you're fairly comfortable with technology. It probably took me 10 minutes. Most of the apps I wanted were in the Amazon store, but there were a handful that I had paid for through Google Play. The only way I could have them was to go back to access that store. They have worked fine so far. I despise the keyboard that Amazon pre-installed on this device. There are no lines between the letters on the keyboard. I suppose it designed to be better for swyping through keys, but I hate it. I fixed that problem by going to Google Play and downloading a new keyboard. It was a pretty easy problem to solve so I can't complain.Apps that are connecting to the Internet can be a little slow to load on this device compared to my other gadgets, but that generally doesn't bother me. If you were using this tablet to replace your personal laptop, however, that might drive you crazy. The screen on this device isn't bad. If I compare it to my fancy phone, it's not as shape, but when you think about the price of this device compared to my smartphone, the screen is outstanding.The speakers are OK. There are two of them located on the bottom of the screen. I won't say that they are fantastic. They aren't. In my opinion, they are fine for watching YouTube or a television show. They are not OK for listening to music if you are an audiophile. You can make it a little better by downloading a different music app instead of relying on the pre-install app, but still your music will sound tinny. That being said, you can always connect your tablet to a bluetooth speaker, use a pair of headphones, etc.This device wasn't made for taking pictures. It has a front and back camera, but they aren't designed to be spectacular. I'm not using them.I find this device a little difficult to hold in my hands. I think that's partly because of the size and partly because it feels very slick. Also, I do have some hand problems (similar to someone who has Carpal Tunnel syndrome). I think it will be easier to handle once my case arrives. I'm still waiting for it. I'm greatly enjoying this device. It's simply fun to use the tablet. There are weaknesses that come with that lower price tag, but you legitimately get a lot of bang for your buck, particularly if you regularly use Amazon services. If you don't typically use Amazon and you are just looking for a tablet for viewing the Internet and you're looking for a low price tag, this device may be OK for you.",I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!
